birth_year,franchise,price,rating
1992,t,0,2
1985,t,0,1
1987,t,0,1
1993,t,0,2
1992,t,0,2
1990,t,0,2
1987,t,0,1
1943,t,0,2
1991,f,2,2
1989,f,2,1
1990,f,2,2
1988,f,2,2
1985,f,2,0
1991,f,2,2
1987,f,2,0
1988,f,2,2
1991,f,2,2
1988,f,2,2
1989,f,2,1
1930,f,2,2
1991,f,2,2
1990,f,2,2
1991,f,2,2
1991,f,2,2
1991,f,2,2
1991,f,2,2
1930,f,2,2
1930,f,2,2
1992,f,2,2
1983,f,2,2
1991,f,2,2
1991,f,2,2
1990,f,2,2
1930,f,1,2
1990,f,1,2
1991,f,1,1
1983,f,1,2
1989,f,1,1
1986,t,1,1
1990,t,1,2
1967,t,1,2
1930,f,0,2
1983,f,0,0
1991,f,0,1
1989,f,0,1
1989,f,0,1
1991,f,2,2
1988,f,2,2
1990,f,2,2
1991,f,2,2
1990,f,2,2
1990,f,2,2
1990,f,2,2
1991,f,2,2
1930,f,2,2
1990,f,2,2
1989,f,2,1
1992,f,0,2
1989,f,0,1
1990,f,0,1
1990,f,0,1
1989,f,0,1
1989,f,0,1
1984,f,1,0
1982,f,1,1
1991,f,1,1
1987,t,1,0
1989,t,1,1
1989,t,1,1
1988,t,1,1
1988,t,1,1
1987,t,1,0
1989,t,1,1
1989,f,0,1
1989,f,0,1
1989,f,0,1
1987,f,0,2
1989,f,0,1
1988,f,0,0
1930,f,2,2
1990,f,2,2
1991,f,2,2
1991,f,2,2
1987,f,2,0
1990,f,2,2
1990,f,2,2
1952,f,2,1
1991,f,2,2
1987,f,2,0
1989,f,0,1
1982,f,0,0
1991,f,0,1
1990,f,0,1
1991,f,0,1
1989,f,0,1
1990,f,0,1
1991,f,0,1
1989,f,0,1
1986,f,0,1
1989,f,0,1
1989,f,0,1
1989,f,0,1
1989,f,0,1
1992,f,0,2
1987,f,1,2
1981,f,1,2
1991,f,1,1
1990,f,1,2
1989,f,2,1
1986,f,2,0
1990,f,2,2
1991,f,2,2
1990,f,1,2
1990,f,1,2
1990,f,1,2
1990,f,1,2
1989,f,1,1
1991,f,1,1
1991,f,1,1
1991,f,1,1
1991,f,1,1
1930,f,0,2
1991,f,0,1
1991,f,0,1
1990,f,0,1
1991,f,0,1
1987,f,0,2
1930,f,0,2
1991,f,0,1
1991,f,0,1
1989,f,0,1
1990,f,0,1
1989,f,0,1
1989,f,0,1
1989,f,0,1
1991,f,0,1
1989,f,0,1
1985,f,0,0
1991,f,0,1
1990,f,0,1
1988,f,0,0
1930,f,0,2
1930,f,0,2
1983,f,0,0
1989,f,0,1
1991,f,0,1
1989,f,0,1
1989,f,0,1
1983,f,0,0
1930,f,0,2
1990,f,0,1
1989,f,2,1
1952,f,2,1
1990,f,2,2
1988,f,2,2
1990,f,2,2
1991,f,2,2
1991,f,1,1
1989,f,1,1
1988,f,1,2
1930,t,1,2
1986,t,1,1
1990,t,1,2
1989,t,1,1
1991,t,1,1
1991,t,1,1
1990,t,1,2
1991,f,0,1
1991,f,0,1
1989,f,0,1
1988,f,0,0
1983,f,0,0
1989,f,0,1
1988,f,0,0
1987,f,0,2
1984,f,0,2
1988,f,0,0
1991,f,0,1
1989,f,0,1
1989,f,0,1
1989,f,0,1
1990,f,0,1
1991,f,0,1
1992,f,0,2
1990,f,0,1
1991,f,0,1
1989,f,0,1
1991,f,0,1
1990,f,0,1
1990,f,0,1
1990,f,0,1
1991,f,0,1
1985,f,0,0
1984,f,0,2
1982,f,0,0
1994,f,0,2
1989,t,1,1
1989,t,1,1
1989,t,1,1
1989,t,1,1
1989,f,1,1
1988,f,1,2
1990,f,1,2
1991,f,1,1
1989,f,1,1
1989,f,1,1
1989,f,1,1
1930,f,1,2
1985,f,1,2
1986,f,1,0
1986,f,1,0
1991,f,1,1
1987,f,1,2
1969,f,1,2
1967,f,1,2
1992,f,1,2
1990,f,0,1
1982,f,0,0
1989,f,0,1
1991,f,0,1
1983,f,0,0
1989,f,0,1
1981,f,0,0
1991,f,0,1
1990,f,0,1
1989,f,0,1
1989,f,0,1
1991,f,0,1
1952,f,0,2
1988,f,0,0
1990,f,0,1
1990,t,0,2
1990,t,0,2
1990,t,0,2
1990,t,0,2
1990,t,0,2
1940,t,0,2
1989,t,1,1
1989,t,1,1
1991,t,1,1
1987,t,1,0
1989,t,1,1
1989,t,1,1
1987,t,1,0
1988,t,1,1
1988,t,1,1
1987,t,1,0
1989,f,1,1
1988,f,1,2
1991,f,1,1
1991,f,1,1
1990,f,1,2
1989,f,1,1
1989,f,0,1
1988,f,0,0
1987,f,0,2
1984,f,0,2
1987,f,1,2
1987,f,1,2
1987,f,1,2
1930,f,1,2
1991,f,1,1
1930,f,1,2
1988,f,1,2
1991,f,1,1
1991,f,1,1
1991,f,1,1
1986,f,1,0
1987,f,1,2
1993,f,1,2
1990,f,1,2
1987,f,0,2
1991,f,0,1
1930,f,0,2
1991,f,0,1
1930,f,0,2
1991,f,0,1
1989,f,0,1
1930,f,0,2
1988,f,0,0
1991,f,0,1
1991,f,0,1
1992,f,0,2
1988,t,1,1
1990,t,1,2
1991,t,1,1
1985,t,1,1
1979,t,1,1
1943,t,1,2
1992,t,1,2
1990,t,1,2
1982,t,1,2
1989,f,1,1
1981,f,1,2
1991,f,1,1
1988,f,1,2
1989,f,1,1
1988,f,1,2
1990,f,1,2
1989,f,1,1
1991,f,1,1
1989,f,1,1
1992,f,1,2
1989,f,1,1
1991,f,1,1
1990,f,1,2
1989,f,0,1
1989,f,0,1
1989,f,0,1
1989,f,0,1
1990,f,1,2
1981,f,1,2
1988,f,1,2
1989,f,1,1
1990,f,1,2
1987,f,2,0
1988,f,2,2
1930,f,2,2
1990,f,2,2
1989,f,0,1
1989,f,0,1
1987,f,0,2
1989,f,0,1
1992,f,0,2
1990,f,0,1
1967,f,0,1
1990,f,0,1
1989,f,1,1
1952,f,1,2
1989,f,1,1
1982,f,1,1
1983,f,1,2
1989,f,1,1
1990,f,1,2
1990,f,1,2
1989,f,1,1
1987,f,1,2
1989,f,1,1
1991,f,1,1
1991,f,1,1
1988,f,0,0
1988,f,0,0
1989,f,0,1
1987,f,0,2
1989,f,0,1
1989,f,0,1
1990,f,0,1
1990,f,0,1
1991,f,0,1
1990,f,0,1
1990,f,0,1
1986,f,0,1
1990,f,0,1
1991,f,0,1
1990,f,0,1
1989,f,0,1
1991,f,0,1
1982,f,0,0
1991,f,0,1
1991,f,0,1
1990,f,0,1
1991,f,0,1
1989,f,0,1
1989,f,0,1
1989,f,0,1
1987,f,0,2
1988,f,0,0
1969,f,2,2
1988,f,2,2
1943,f,2,1
1991,f,2,2
1985,f,2,0
1992,f,2,2
1991,f,2,2
1992,f,2,2
1985,f,1,2
1930,f,1,2
1930,f,1,2
1990,f,1,2
1991,f,1,1
1992,f,1,2
1990,f,1,2
1989,f,1,1
1991,f,1,1
1989,f,1,1
1991,f,1,1
1989,f,1,1
1989,f,1,1
1940,f,1,2
1991,f,1,1
1991,f,1,1
1989,f,1,1
1988,f,1,2
1991,f,1,1
1990,f,1,2
1990,f,1,2
1992,f,1,2
1982,f,1,1
1991,f,1,1
1991,f,0,1
1969,f,0,0
1979,f,0,0
1982,f,0,0
1984,f,0,2
1982,f,0,0
1986,t,1,1
1986,t,1,1
1990,t,1,2
1987,t,1,0
1989,t,1,1
1991,t,1,1
1991,t,1,1
1983,t,1,1
1991,t,1,1
1989,t,1,1
1991,t,1,1
1990,t,1,2
1990,t,1,2
1988,t,1,1
1989,t,1,1
1930,t,1,2
1989,t,1,1
1990,t,1,2
1987,f,1,2
1989,f,1,1
1952,f,1,2
1990,f,1,2
1990,f,1,2
1991,f,1,1
1991,f,1,1
1930,f,1,2
1991,f,1,1
1991,f,1,1
1930,f,1,2
1990,f,1,2
1990,f,1,2
1989,t,1,1
1989,t,1,1
1987,t,1,0
1988,t,1,1
1987,t,1,0
1989,t,1,1
1983,f,1,2
1988,f,1,2
1989,f,1,1
1991,f,1,1
1989,f,1,1
1991,f,1,1
1991,f,1,1
1940,f,1,2
1991,f,1,1
1930,f,1,2
1991,f,1,1
1989,f,1,1
1988,f,1,2
1991,f,1,1
1992,f,1,2
1991,f,1,1
1991,f,1,1
1930,f,1,2
1930,f,1,2
1990,f,1,2
1990,f,1,2
1990,f,1,2
1992,f,1,2
1990,f,1,2
1930,f,1,2
1991,f,1,1
1989,f,1,1
1991,f,1,1
1930,f,1,2
1952,f,1,2
1990,f,1,2
1990,f,1,2
1989,f,1,1
1930,f,1,2
1991,f,1,1
